PRIM_CONTRIBUTORY_CAUSE,POSTED_SPEED_LIMIT,DEVICE_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,CRASH_TYPE,MOST_SEVERE_INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
DISREGARDING OTHER TRAFFIC SIGNS,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
EXCEEDING SAFE SPEED FOR CONDITIONS,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DUSK,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT UNKNOWN,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,HEAD ON,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
NOT APPLICABLE,SPEED LIMIT 30,UNKNOWN,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,UNKNOWN,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,UNKNOWN,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 20,NO CONTROLS,DAYLIGHT,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 40,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT UNKNOWN,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,OTHER OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 40,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PEDALCYCLIST,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 45,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DISREGARDING OTHER TRAFFIC SIGNS,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
EQUIPMENT - VEHICLE CONDITION,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,UNKNOWN,UNKNOWN,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 20,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 45,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,OTHER NONCOLLISION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NOT FUNCTIONING,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 20,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 20,NO CONTROLS,DAWN,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAWN,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
DISREGARDING TRAFFIC SIGNALS,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
EQUIPMENT - VEHICLE CONDITION,SPEED LIMIT 20,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,UNKNOWN,UNKNOWN,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DARKNESS,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DARKNESS,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,UNKNOWN,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),SPEED LIMIT 25,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT UNKNOWN,NO CONTROLS,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,"DARKNESS, LIGHTED ROAD",ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
EXCEEDING AUTHORIZED SPEED LIMIT,SPEED LIMIT 30,NO CONTROLS,DARKNESS,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 35,NO CONTROLS,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",REAR END,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",ANGLE,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER LANE USAGE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,DARKNESS,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO REDUCE SPEED TO AVOID CRASH,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,"DARKNESS, LIGHTED ROAD",ANGLE,INJURY AND / OR TOW DUE TO CRASH,"REPORTED, NOT EVIDENT"
IMPROPER TURNING/NO SIGNAL,SPEED LIMIT 35,NO CONTROLS,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,INCAPACITATING INJURY
EXCEEDING AUTHORIZED SPEED LIMIT,SPEED LIMIT 35,NO CONTROLS,DAWN,REAR END,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
DISREGARDING TRAFFIC SIGNALS,SPEED LIMIT 30,FUNCTIONING PROPERLY,DUSK,ANGLE,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
UNABLE TO DETERMINE,SPEED LIMIT 15,NO CONTROLS,DUSK,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER BACKING,SPEED LIMIT 30,NO CONTROLS,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 30,NO CONTROLS,DUSK,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 20,NO CONTROLS,UNKNOWN,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 10,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DUSK,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,UNKNOWN,UNKNOWN,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FOLLOWING TOO CLOSELY,SPEED LIMIT 25,FUNCTIONING PROPERLY,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 25,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
ROAD CONSTRUCTION/MAINTENANCE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
WEATHER,SPEED LIMIT 35,FUNCTIONING PROPERLY,DAYLIGHT,ANGLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
NOT APPLICABLE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,FIXED OBJECT,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",SPEED LIMIT 15,NO CONTROLS,DAYLIGHT,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
IMPROPER OVERTAKING/PASSING,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,REAR END,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,TURNING,INJURY AND / OR TOW DUE TO CRASH,NO INDICATION OF INJURY
UNABLE TO DETERMINE,SPEED LIMIT 30,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,PEDESTRIAN,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 30,FUNCTIONING PROPERLY,DAYLIGHT,PEDALCYCLIST,INJURY AND / OR TOW DUE TO CRASH,NONINCAPACITATING INJURY
FAILING TO YIELD RIGHT-OF-WAY,SPEED LIMIT 35,NO CONTROLS,DAYLIGHT,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,NO INDICATION OF INJURY
